"EVENT","VALUE","TIME"
"Restart","197","165,34070"
"Fall","196","166,04510"
"Restart","198","166,06180"
"Fall","197","166,77060"
"Restart","199","166,78650"
"Fall","198","167,48470"
"Restart","200","167,50220"
"Fall","199","168,20130"
"Restart","201","168,21820"
"Fall","200","168,92650"
"Restart","202","168,94290"
"Fall","201","169,64020"
"Restart","203","169,65900"
"Fall","202","170,37010"
"Restart","204","170,38580"
"Fall","203","171,08710"
"Restart","205","171,10240"
"Fall","204","171,81150"
"Restart","206","171,82850"
"Fall","205","172,52510"
"Restart","207","172,54110"
"Fall","206","173,24600"
"Restart","208","173,26330"
"Fall","207","173,97340"
"Restart","209","173,99090"
"Fall","208","174,68620"
"Restart","210","174,70310"
"Fall","209","175,40900"
"Restart","211","175,42500"
"Fall","210","176,12630"
"Restart","212","176,14040"
"Fall","211","176,84740"
"Restart","213","176,86260"
"Fall","212","177,56590"
"Restart","214","177,58240"
"Fall","213","178,29090"
"Restart","215","178,30720"
"Fall","214","179,00890"
"Restart","216","179,03440"
"Fall","215","179,72330"
"Restart","217","179,74080"
"Fall","216","180,45610"
"Restart","218","180,47660"
"Fall","217","181,17910"
"Restart","219","181,19400"
"Fall","218","181,89000"
"Restart","220","181,91340"
"Fall","219","182,60260"
"Restart","221","182,62020"
"Fall","220","183,33090"
"Restart","222","183,35180"
"Fall","221","184,05090"
"Restart","223","184,06770"
"Fall","222","184,76770"
"Restart","224","184,78810"
"Fall","223","185,48610"
"Restart","225","185,50380"
"Fall","224","186,20510"
"Restart","226","186,22260"
"Fall","225","186,93290"
"Restart","227","186,94920"
"Fall","226","187,66780"
"Restart","228","187,68420"
"Fall","227","188,38090"
"Restart","229","188,39950"
"Fall","228","189,10860"
"Restart","230","189,12250"
"Fall","229","189,82600"
"Restart","231","189,84310"
"Fall","230","190,55610"
"Restart","232","190,57490"
"Fall","231","191,26550"
"Restart","233","191,28150"
"cmd","tap","191,28150"
"cmd","tap","191,43970"
"cmd","tap","191,59090"
"cmd","tap","191,74170"
"cmd","tap","192,01080"
"RC","1","192,12000"
"cmd","tap","192,21300"
"WC","233","192,22000"
"WC","233","192,58000"
"Restart","234","193,05060"
"cmd","tap","193,33050"
"cmd","tap","193,49830"
"cmd","tap","193,66610"
"cmd","tap","193,81770"
"cmd","tap","194,00200"
"cmd","tap","194,15280"
"cmd","tap","194,30480"
"WC","234","194,40000"
"cmd","tap","194,47280"
"WC","234","194,86000"
"Restart","235","195,22700"
"Fall","232","195,92700"
"Restart","236","195,94300"
"Fall","233","196,64140"
"Restart","237","196,67320"
"Fall","234","197,39110"
"Restart","238","197,40410"
"Fall","235","198,11550"
"Restart","239","198,13140"
"Fall","236","198,83090"
"Restart","240","198,84720"
"Fall","237","199,54680"
"Restart","241","199,56410"
"Fall","238","200,26130"
"Restart","242","200,27850"
"Fall","239","200,98680"
"Restart","243","201,00290"
"Fall","240","201,70200"
"Restart","244","201,72030"
"Fall","241","202,43500"
"Restart","245","202,45230"
"Fall","242","203,15150"
"Restart","246","203,16860"
"Fall","243","203,86690"
"Restart","247","203,88670"
"Fall","244","204,58180"
"Restart","248","204,59960"
"Fall","245","205,31700"
"Restart","249","205,33330"
